Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,5,7.075999999999994,18,39,38,48,86,37,7.136999999999994,2.8669999999999978,0.6099999999999999,1.4029999999999991,19,7,5,6,40,11,5,8,5,0.5,33,4.5,7,L,0.178425,0.2606363636363636,0.122,0.175375
1,1,2,0,3,10.430999999999992,16,49,27,49,53,6,10.613999999999992,4.330999999999997,0.8539999999999996,0.488,18,12,5,3,51,22,5,3,5,0,19,4.75,7,L,0.20811764705882352,0.19686363636363635,0.1708,0.16266666666666665
1,2,3,0,5,12.19999999999999,19,65,44,77,98,52,26.16899999999998,0.9759999999999995,0.8539999999999996,0.6099999999999999,20,4,4,6,119,4,4,6,5,0,14,3.5,7,L,0.2199075630252101,0.244,0.21349999999999997,0.10166666666666667
1,2,4,0,8,9.881999999999993,18,49,109,120,110,119,10.064999999999992,1.1589999999999994,1.2199999999999993,1.585999999999999,20,5,7,7,51,5,9,8,2,1,24,2,7,L,0.19735294117647056,0.23179999999999998,0.13555555555555554,0.19824999999999998
1,3,5,0,6,8.905999999999993,18,44,6,2,9,11,11.345999999999991,2.622999999999998,0.244,2.744999999999998,20,9,2,9,52,14,2,11,6,1,72,6,7,L,0.21819230769230769,0.18735714285714286,0.122,0.24954545454545454
1,3,6,0,9,10.247999999999992,12,45,70,69,108,94,11.223999999999991,6.953999999999994,0.9759999999999995,1.3419999999999992,20,15,3,4,56,27,3,5,4,0,13,3.25,7,L,0.2004285714285714,0.25755555555555554,0.3253333333333333,0.26839999999999997
1,4,7,0,6,12.19999999999999,19,66,7,9,8,91,13.11499999999999,0.122,4.513999999999997,0.6099999999999999,20,1,10,3,69,1,17,3,6,0.5,39,5.25,7,L,0.19007246376811593,0.122,0.26552941176470585,0.20333333333333334
1,4,8,0,7,9.088999999999993,14,44,24,19,29,23,11.528999999999991,0.9149999999999996,0.8539999999999996,2.3179999999999983,20,5,4,10,55,5,6,10,6,0.5,41,5.75,7,L,0.20961818181818181,0.183,0.14233333333333334,0.2318
1,5,9,0,5,8.539999999999994,16,48,43,41,47,46,8.661999999999994,2.500999999999998,0.183,2.622999999999998,18,10,1,7,50,13,1,9,5,1,60,5,7,L,0.17323999999999998,0.19238461538461538,0.183,0.2914444444444444
1,5,10,0,2,10.247999999999992,18,52,59,94,85,55,11.589999999999991,4.452999999999997,6.099999999999995,1.1589999999999994,20,9,16,7,60,15,32,7,4,0,14,3.5,7,L,0.19316666666666665,0.2968666666666666,0.190625,0.16557142857142856
1,6,11,0,1,7.990999999999993,18,45,83,80,76,14,20.495999999999984,2.0739999999999985,9.698999999999993,0.427,20,7,17,3,94,7,43,3,3,0.5,24,3.75,7,L,0.21804255319148935,0.29628571428571426,0.22555813953488368,0.14233333333333334
1,6,12,0,6,3.2329999999999974,10,20,2,33,95,11,4.6969999999999965,3.720999999999997,0.244,0.061,17,10,2,1,28,15,2,1,6,0,20,5,7,L,0.16774999999999998,0.24806666666666666,0.122,0.061
1,7,13,1,3,8.905999999999993,16,45,109,30,6,3,11.223999999999991,0.7319999999999998,2.1349999999999985,2.3789999999999982,20,3,9,4,54,3,13,4,5,0,19,4.75,7,L,0.20785185185185184,0.244,0.1642307692307692,0.5947499999999998
1,7,14,1,1,12.26099999999999,17,54,15,43,84,40,20.007999999999985,0.061,1.0979999999999994,3.2939999999999974,20,1,2,9,91,1,2,11,3,0,19,4.75,7,L,0.21986813186813187,0.061,0.5489999999999998,0.2994545454545455
