Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,1,15.554999999999987,16,72,84,81,78,112,16.28699999999999,1.0979999999999994,3.1109999999999975,20.373999999999985,18,4,9,17,74,5,14,88,3,0.5,20,2.75,6,L,0.22009459459459457,0.2196,0.2222142857142857,0.23152272727272724
1,1,2,0,5,25.25399999999998,20,114,44,43,39,20,26.35199999999998,0.122,0.183,3.1109999999999975,20,1,1,6,119,1,1,14,5,0.5,36,5.25,6,L,0.2214453781512605,0.122,0.183,0.2222142857142857
1,2,3,0,5,24.76599999999998,19,99,38,45,2,99,25.43699999999998,0.7319999999999998,7.197999999999994,0.7929999999999997,20,4,13,6,101,5,30,6,5,0,18,4.5,6,L,0.25185148514851485,0.1464,0.23993333333333333,0.13216666666666665
1,2,4,0,9,26.53499999999998,20,126,70,22,21,14,27.14499999999998,5.184999999999996,2.744999999999998,14.212999999999989,20,13,8,16,129,21,10,61,4,0.5,40,5.5,6,L,0.21042635658914727,0.24690476190476188,0.27449999999999997,0.23299999999999998
1,3,5,0,7,22.447999999999983,20,94,23,35,56,13,23.301999999999982,8.905999999999993,0.8539999999999996,1.646999999999999,20,16,6,3,99,36,6,4,6,0,21,5.25,6,L,0.23537373737373735,0.24738888888888885,0.14233333333333334,0.41174999999999984
1,3,6,0,4,23.48499999999998,20,126,102,92,106,6,24.09499999999998,4.818999999999996,2.439999999999998,6.404999999999995,20,11,11,16,129,19,12,34,2,0,13,3.25,6,L,0.1867829457364341,0.25363157894736843,0.20333333333333334,0.18838235294117647
1,4,7,0,5,9.881999999999993,17,60,41,48,45,4,13.23699999999999,1.3419999999999992,4.086999999999997,6.038999999999995,20,5,10,12,72,5,17,25,5,0.5,36,5.25,6,L,0.1838472222222222,0.2683999999999999,0.24041176470588232,0.24156
1,4,8,0,9,27.388999999999978,19,117,71,70,62,68,32.32999999999998,0.9759999999999995,2.3789999999999982,3.4159999999999973,20,4,10,13,140,4,12,17,4,1,48,4,6,L,0.23092857142857143,0.244,0.19824999999999998,0.20094117647058823
1,5,9,0,7,15.676999999999987,15,80,14,17,28,35,15.737999999999987,1.8909999999999987,10.674999999999992,0.061,16,8,16,1,81,9,41,1,6,0,22,5.5,6,L,0.19429629629629627,0.2101111111111111,0.26036585365853654,0.061
1,5,10,0,8,40.38199999999997,18,178,92,109,11,10,46.481999999999964,0.305,10.613999999999992,4.147999999999997,20,2,17,11,198,2,42,17,2,0,17,4.25,6,L,0.23475757575757572,0.1525,0.25271428571428567,0.24399999999999997
1,6,11,1,1,20.251999999999985,15,84,13,113,117,56,33.671999999999976,2.622999999999998,5.916999999999995,2.3789999999999982,20,6,14,11,136,7,25,13,3,0,14,3.5,6,L,0.2475882352941176,0.37471428571428567,0.23667999999999997,0.183
1,6,12,1,11,26.41299999999998,20,131,8,68,67,61,37.81999999999997,0.7319999999999998,0.244,1.2809999999999993,20,4,2,4,179,4,2,5,4,0.5,30,4.5,6,L,0.2112849162011173,0.183,0.122,0.2562
1,7,13,1,1,31.475999999999974,20,148,81,80,10,84,32.26899999999998,0.122,1.2199999999999993,1.585999999999999,20,1,2,9,151,1,2,11,3,0.5,24,3.75,6,L,0.21370198675496688,0.122,0.6099999999999998,0.1441818181818182
1,7,14,1,11,17.018999999999988,18,84,65,14,63,15,24.52199999999998,0.061,6.8319999999999945,1.4029999999999991,20,1,14,4,118,1,29,6,4,0,20,5,6,L,0.20781355932203388,0.061,0.2355862068965517,0.23383333333333334
1,8,15,1,11,18.543999999999986,19,82,68,72,71,66,20.373999999999985,1.2809999999999993,1.0369999999999995,2.683999999999998,20,6,3,11,88,6,3,12,4,1,48,4,6,L,0.23152272727272724,0.2135,0.3456666666666667,0.22366666666666665
1,8,16,1,12,19.092999999999986,19,86,43,59,47,38,22.935999999999982,2.0129999999999986,0.7319999999999998,3.9649999999999967,20,7,4,13,100,8,4,21,5,0.5,34,4.75,6,L,0.22935999999999998,0.251625,0.183,0.18880952380952382
1,9,17,1,15,29.157999999999976,15,134,15,16,72,113,29.218999999999976,5.489999999999996,1.585999999999999,0.122,16,13,6,1,135,20,8,1,6,0,18,4.5,6,L,0.21643703703703704,0.27449999999999997,0.19824999999999998,0.122
1,9,18,1,8,26.53499999999998,19,139,99,97,100,101,27.14499999999998,0.061,2.439999999999998,3.2939999999999974,20,1,7,12,141,1,11,17,2,1,24,2,6,L,0.19251773049645388,0.061,0.2218181818181818,0.19376470588235292
1,10,19,1,12,24.52199999999998,20,110,46,43,37,13,24.58299999999998,0.7319999999999998,1.2199999999999993,12.19999999999999,20,4,5,16,111,4,5,51,5,0.5,36,5.25,6,L,0.22146846846846846,0.183,0.244,0.2392156862745098
1,10,20,1,14,11.650999999999991,13,51,89,94,114,95,12.62699999999999,0.366,1.0979999999999994,0.061,18,1,2,1,56,2,3,1,3,0.5,20,2.75,6,L,0.22548214285714283,0.183,0.366,0.061
1,11,21,1,2,26.90099999999998,19,113,50,12,4,3,27.571999999999978,8.661999999999994,2.500999999999998,1.463999999999999,20,18,9,5,117,48,9,7,4,0.5,40,5.5,6,L,0.23565811965811964,0.18045833333333333,0.27788888888888885,0.20914285714285713
1,11,22,1,11,23.78999999999998,20,110,65,14,76,63,24.46099999999998,5.306999999999996,2.3789999999999982,0.061,20,12,4,1,114,19,5,1,4,0,17,4.25,6,L,0.21457017543859647,0.2793157894736842,0.4757999999999999,0.061
1,12,23,1,11,19.031999999999986,20,82,33,61,68,70,29.82899999999998,0.366,4.147999999999997,1.524999999999999,20,4,14,6,126,4,20,8,4,0.5,29,4.25,6,L,0.23673809523809522,0.0915,0.2074,0.190625
