Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,3,3.4159999999999973,13,18,35,87,98,72,6.648999999999995,5.123999999999996,2.2569999999999983,0.9759999999999995,20,16,9,5,34,25,12,5,5,0,14,3.5,7,L,0.19555882352941176,0.20496,0.18808333333333332,0.19519999999999998
1,1,2,0,1,3.842999999999997,15,21,49,81,4,79,5.489999999999996,1.1589999999999994,1.9519999999999986,0.488,20,6,9,2,29,8,11,2,3,0,16,4,7,L,0.1893103448275862,0.144875,0.17745454545454545,0.244
1,2,3,0,5,7.380999999999994,17,42,43,57,39,20,7.502999999999994,3.781999999999997,0.9759999999999995,1.1589999999999994,19,13,3,5,44,18,3,7,5,0,20,5,7,L,0.17052272727272727,0.2101111111111111,0.32533333333333325,0.16557142857142856
1,2,4,0,1,4.574999999999997,17,28,10,36,27,25,9.820999999999993,0.122,2.0129999999999986,0.8539999999999996,20,2,6,3,52,2,9,4,3,0.5,36,5.25,7,L,0.1888653846153846,0.061,0.22366666666666665,0.2135
1,3,5,0,5,5.062999999999996,14,27,45,100,99,49,8.051999999999994,2.439999999999998,0.122,0.183,20,7,1,1,37,7,1,1,5,0,13,3.25,7,L,0.2176216216216216,0.34857142857142853,0.122,0.183
1,3,6,0,9,6.526999999999995,19,38,70,72,66,35,8.051999999999994,2.805999999999998,1.3419999999999992,0.5489999999999999,20,11,5,2,49,13,5,2,4,0.5,29,4.25,7,L,0.1643265306122449,0.21584615384615383,0.26839999999999997,0.27449999999999997
1,4,7,0,8,4.513999999999997,13,22,18,47,15,17,7.258999999999995,2.744999999999998,0.244,1.524999999999999,20,10,1,7,34,12,1,7,2,0.5,41,5.75,7,L,0.2135,0.22875,0.244,0.21785714285714283
1,4,8,0,6,3.2939999999999974,12,18,2,49,11,82,4.025999999999997,0.183,0.9759999999999995,1.2809999999999993,15,1,4,3,21,1,6,3,6,0,19,4.75,7,L,0.1917142857142857,0.183,0.16266666666666665,0.42699999999999994
1,5,9,0,7,5.245999999999996,16,27,13,58,20,80,6.953999999999995,0.305,0.122,4.330999999999997,20,2,1,11,35,2,1,20,6,0,19,4.75,7,L,0.19868571428571427,0.1525,0.122,0.21655
1,5,10,0,9,5.7949999999999955,14,27,64,61,103,107,7.929999999999994,0.183,1.585999999999999,1.8299999999999987,20,2,10,7,37,2,12,7,4,0,12,3,7,L,0.2143243243243243,0.0915,0.13216666666666665,0.2614285714285714
1,6,11,0,3,8.173999999999994,13,42,92,52,36,28,8.600999999999994,0.7319999999999998,0.305,1.8299999999999987,15,2,3,8,44,2,3,10,5,0,17,4.25,7,L,0.19547727272727272,0.366,0.10166666666666667,0.183
1,6,12,0,1,6.404999999999995,17,33,77,39,107,98,9.332999999999993,2.3789999999999982,0.122,2.1349999999999985,20,12,1,9,44,13,1,13,3,0,12,3,7,L,0.21211363636363637,0.183,0.122,0.1642307692307692
1,7,13,1,7,2.744999999999998,9,20,10,8,2,54,2.9279999999999977,0.366,2.9889999999999977,0.061,11,2,10,1,22,2,12,1,6,0.5,40,5.5,7,L,0.1330909090909091,0.183,0.24908333333333332,0.061
1,7,14,1,8,3.903999999999997,12,22,104,65,99,70,7.929999999999994,0.8539999999999996,0.9759999999999995,0.6709999999999998,20,5,5,2,43,5,5,2,2,0,12,3,7,L,0.18441860465116278,0.1708,0.19519999999999998,0.3354999999999999
1,8,15,1,11,2.9889999999999977,12,21,64,66,99,35,3.7209999999999974,1.9519999999999986,3.2939999999999974,3.781999999999997,15,7,7,6,25,8,11,16,4,0,15,3.75,7,L,0.14884,0.244,0.2994545454545454,0.23637499999999997
1,8,16,1,1,4.269999999999997,11,20,84,76,41,75,7.746999999999995,1.8299999999999987,0.305,0.061,20,7,2,1,35,11,2,1,3,0.5,23,3.5,7,L,0.22134285714285715,0.16636363636363635,0.1525,0.061
1,9,17,1,12,5.245999999999996,14,26,48,69,37,47,5.733999999999996,2.1349999999999985,0.9149999999999996,0.7319999999999998,16,6,4,4,28,8,5,4,5,0.5,34,4.75,7,L,0.20478571428571427,0.266875,0.183,0.183
