Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,5,14.212999999999989,19,68,38,37,42,48,15.249999999999988,0.7319999999999998,1.0979999999999994,2.0739999999999985,20,2,6,8,73,3,7,11,5,1,60,5,6,L,0.20890410958904107,0.244,0.15685714285714286,0.18854545454545454
1,1,2,0,1,14.395999999999988,16,66,82,7,73,34,17.689999999999987,3.1719999999999975,1.2809999999999993,0.244,20,11,4,1,78,15,4,1,3,0,17,4.25,6,L,0.2267948717948718,0.21146666666666666,0.32024999999999987,0.244
1,2,3,0,10,19.885999999999985,20,96,86,15,96,26,22.020999999999983,5.245999999999996,0.366,6.587999999999995,20,15,4,14,108,24,4,34,3,0,17,4.25,6,L,0.20389814814814813,0.21858333333333332,0.0915,0.19376470588235292
1,2,4,0,9,37.88099999999997,18,161,70,71,61,62,39.10099999999997,2.8669999999999978,0.8539999999999996,0.6099999999999999,20,12,5,4,165,19,5,4,4,1,48,4,6,L,0.23697575757575753,0.15089473684210525,0.1708,0.1525
1,3,5,0,1,17.506999999999987,19,91,69,74,64,79,35.684999999999974,3.598999999999997,5.916999999999995,0.488,20,10,14,4,171,13,23,4,3,0,14,3.5,6,L,0.20868421052631578,0.27684615384615385,0.2572608695652174,0.122
1,3,6,0,6,17.811999999999987,16,81,2,10,88,103,17.872999999999987,5.611999999999996,1.3419999999999992,1.8299999999999987,17,12,5,10,82,20,5,11,6,0,17,4.25,6,L,0.21796341463414634,0.28059999999999996,0.26839999999999997,0.16636363636363635
1,4,7,0,6,75.39600000000127,19,331,6,3,9,27,75.45700000000127,25.25399999999998,3.3549999999999973,0.488,20,18,14,3,332,98,15,3,6,0.5,41,5.75,6,L,0.2272801204819277,0.25769387755102036,0.22366666666666665,0.16266666666666665
1,4,8,0,5,16.40899999999999,18,88,43,38,41,108,18.787999999999986,0.061,2.2569999999999983,7.8689999999999936,20,1,7,14,96,1,9,26,5,0.5,32,4.25,6,L,0.19570833333333332,0.061,0.2507777777777777,0.3026538461538461
1,5,9,0,6,37.88099999999997,14,174,2,6,103,4,37.94199999999997,0.488,7.014999999999994,7.746999999999994,15,4,16,13,175,4,33,30,6,0.5,38,5,6,L,0.21681142857142854,0.122,0.21257575757575756,0.2582333333333333
1,5,10,0,1,22.935999999999982,18,119,73,84,54,59,24.52199999999998,2.9889999999999977,32.45199999999998,1.585999999999999,20,11,18,7,126,14,133,10,3,0,14,3.5,6,L,0.1946190476190476,0.21349999999999997,0.24399999999999997,0.1586
1,6,11,1,1,18.909999999999986,20,81,79,80,63,23,24.82699999999998,2.0739999999999985,3.1109999999999975,2.439999999999998,20,7,10,12,111,10,11,15,3,0,16,4,6,L,0.22366666666666665,0.2074,0.2828181818181818,0.16266666666666665
1,6,12,1,7,20.312999999999985,19,79,3,2,40,12,20.983999999999984,14.029999999999989,0.7319999999999998,0.9759999999999995,20,17,4,2,82,64,4,2,6,0.5,41,5.75,6,L,0.25590243902439025,0.21921875,0.183,0.48799999999999977
1,7,13,1,13,25.98599999999998,18,118,119,109,113,21,26.04699999999998,0.122,2.1349999999999985,2.805999999999998,19,1,9,7,119,1,10,10,2,0.5,18,3,6,L,0.21888235294117644,0.122,0.2135,0.28059999999999996
1,7,14,1,14,28.608999999999977,18,140,89,50,45,1,28.730999999999977,5.672999999999996,7.990999999999993,7.258999999999994,20,13,13,14,142,22,38,29,3,0,18,4.5,6,L,0.20233098591549295,0.25786363636363635,0.2102894736842105,0.2503103448275862
1,8,15,1,12,45.932999999999964,13,185,37,61,22,20,49.04399999999996,6.648999999999995,4.025999999999997,1.585999999999999,20,14,14,5,196,23,22,6,5,0,21,5.25,6,L,0.2502244897959183,0.2890869565217391,0.183,0.2643333333333333
1,8,16,1,3,12.87099999999999,19,61,25,29,34,28,13.17599999999999,1.0979999999999994,0.427,4.6969999999999965,20,5,2,12,63,5,2,20,5,1,60,5,6,L,0.20914285714285713,0.21959999999999996,0.2135,0.23484999999999998
1,9,17,1,14,21.349999999999984,19,104,89,96,93,90,22.569999999999983,0.183,3.476999999999997,1.0979999999999994,20,1,10,5,109,1,14,6,3,1,36,3,6,L,0.20706422018348622,0.183,0.2483571428571428,0.183
1,9,18,1,12,15.249999999999988,18,68,43,45,54,8,16.591999999999988,0.6709999999999998,3.659999999999997,5.672999999999996,20,4,13,12,74,4,19,22,5,0,20,5,6,L,0.2242162162162162,0.16775,0.1926315789473684,0.2578636363636363
1,10,19,1,3,32.75699999999998,15,141,29,31,50,59,32.87899999999998,1.524999999999999,3.9649999999999967,1.1589999999999994,16,3,12,4,142,4,20,5,5,0,18,4.5,6,L,0.23154225352112676,0.3812499999999999,0.19824999999999998,0.23179999999999998
1,10,20,1,11,40.56499999999997,16,177,120,1,85,71,49.04399999999996,10.064999999999992,0.244,0.5489999999999999,20,18,1,3,212,49,1,4,4,0,15,3.75,6,L,0.2313396226415094,0.2054081632653061,0.244,0.13724999999999998
1,11,21,1,3,16.896999999999988,19,72,31,35,30,25,17.750999999999987,1.3419999999999992,0.061,3.781999999999997,20,6,1,11,76,6,1,15,5,1,60,5,6,L,0.23356578947368417,0.22366666666666665,0.061,0.2521333333333333
1,11,22,1,1,12.01699999999999,19,54,84,79,73,8,12.07799999999999,0.305,3.1719999999999975,20.556999999999984,20,2,12,16,55,2,15,85,3,0.5,24,3.75,6,L,0.2196,0.1525,0.21146666666666666,0.2418470588235294
1,12,23,1,11,29.767999999999976,16,146,68,9,6,35,31.109999999999975,9.881999999999993,15.310999999999988,4.818999999999996,20,16,18,14,152,43,69,23,4,0,21,5.25,6,L,0.20467105263157895,0.22981395348837208,0.22189855072463766,0.20952173913043476
1,12,24,1,15,15.493999999999987,13,69,15,16,14,23,16.713999999999988,1.463999999999999,2.0129999999999986,0.305,20,4,6,3,77,4,6,3,6,1,72,6,6,L,0.21706493506493504,0.36599999999999994,0.3354999999999999,0.10166666666666667
1,13,25,1,2,12.44399999999999,17,61,59,51,118,109,16.713999999999988,1.1589999999999994,0.122,7.136999999999994,20,4,1,14,80,5,1,23,4,0,12,3,6,L,0.20892499999999997,0.2318,0.122,0.3103043478260869
1,13,26,1,3,31.475999999999974,16,150,94,96,1,62,47.39699999999996,2.744999999999998,19.763999999999985,0.122,20,13,18,1,220,13,76,1,5,0,16,4,6,L,0.21544090909090907,0.21115384615384614,0.26005263157894737,0.122
1,14,27,1,7,25.68099999999998,17,112,6,12,42,52,25.80299999999998,6.404999999999995,4.391999999999997,3.1719999999999975,19,13,11,11,114,21,16,16,6,0,21,5.25,6,L,0.22634210526315787,0.30499999999999994,0.27449999999999997,0.19824999999999998
1,14,28,1,15,11.040999999999991,19,57,13,14,18,75,25.31499999999998,3.476999999999997,0.6709999999999998,0.183,20,11,3,2,115,17,3,2,6,0.5,39,5.25,6,L,0.22013043478260866,0.20452941176470585,0.22366666666666665,0.0915
1,15,29,1,15,18.604999999999986,19,90,18,19,23,50,18.665999999999986,7.9299999999999935,1.7079999999999989,0.183,20,17,5,1,91,34,5,1,6,0.5,40,5.5,6,L,0.20512087912087912,0.23323529411764704,0.3415999999999999,0.183
1,15,30,1,3,54.777999999999956,18,218,12,35,10,32,57.461999999999954,0.183,3.720999999999997,1.2199999999999993,20,2,11,6,229,2,17,6,5,0,22,5.5,6,L,0.2509257641921397,0.0915,0.21888235294117647,0.20333333333333334
1,16,31,1,11,24.03399999999998,20,122,71,3,7,9,25.49799999999998,10.491999999999992,4.879999999999996,0.305,20,18,13,3,127,53,17,3,4,0.5,40,5.5,6,L,0.20077165354330706,0.1979622641509434,0.2870588235294117,0.10166666666666667
1,16,32,1,15,20.190999999999985,17,109,15,14,73,44,22.630999999999982,3.1109999999999975,5.123999999999996,2.561999999999998,20,12,13,9,116,22,26,12,6,0,20,5,6,L,0.1950948275862069,0.1414090909090909,0.19707692307692307,0.2135
2,1,1,0,6,16.04299999999999,16,71,9,4,2,5,17.506999999999987,3.537999999999997,1.646999999999999,1.2199999999999993,20,11,4,7,79,16,4,7,6,1,72,6,6,L,0.22160759493670884,0.221125,0.41174999999999984,0.17428571428571427
2,1,2,0,9,19.153999999999986,17,83,69,61,71,66,20.129999999999985,0.7319999999999998,0.9759999999999995,0.7929999999999997,20,2,5,3,88,3,5,3,4,1,48,4,6,L,0.22874999999999998,0.244,0.19519999999999998,0.2643333333333333
2,2,3,0,9,16.34799999999999,14,79,67,66,69,70,16.957999999999988,0.8539999999999996,0.305,2.1349999999999985,17,4,2,6,82,4,2,6,4,1,48,4,6,L,0.20680487804878048,0.2135,0.1525,0.3558333333333333
2,2,4,0,8,22.447999999999983,19,128,114,119,109,117,24.27799999999998,0.366,0.6709999999999998,3.2329999999999974,20,3,5,9,139,3,5,11,2,1,24,2,6,L,0.1746618705035971,0.122,0.13419999999999999,0.29390909090909084
2,3,5,0,6,15.066999999999988,18,78,6,11,9,12,15.127999999999988,2.683999999999998,4.269999999999997,0.183,19,7,11,1,79,13,16,1,6,1,72,6,6,L,0.19149367088607594,0.20646153846153845,0.266875,0.183
2,3,6,0,3,19.580999999999985,20,96,26,36,25,27,20.251999999999985,2.1349999999999985,1.2199999999999993,1.4029999999999991,20,8,4,5,98,12,4,8,5,1,60,5,6,L,0.2066530612244898,0.17791666666666667,0.30499999999999994,0.175375
2,4,7,0,9,8.478999999999994,17,41,71,96,85,95,10.674999999999992,7.990999999999993,1.2199999999999993,10.735999999999992,20,13,4,16,52,24,5,44,4,0.5,22,3.25,6,L,0.20528846153846153,0.3329583333333333,0.244,0.24399999999999997
2,4,8,0,6,16.591999999999988,15,76,4,7,1,10,18.055999999999987,0.9149999999999996,7.990999999999993,2.8669999999999978,20,5,12,10,87,5,21,13,6,1,72,6,6,L,0.20754022988505746,0.183,0.38052380952380943,0.22053846153846152
2,5,9,0,1,31.231999999999974,16,150,74,82,57,44,31.719999999999974,2.439999999999998,4.6969999999999965,0.9149999999999996,19,8,7,4,153,9,11,4,3,0,15,3.75,6,L,0.2073202614379085,0.2711111111111111,0.4269999999999998,0.22875
2,5,10,0,3,50.69099999999996,18,232,26,34,32,27,54.594999999999956,2.1959999999999984,0.183,3.1109999999999975,20,7,1,11,249,7,1,15,5,1,60,5,6,L,0.2192570281124498,0.31371428571428567,0.183,0.20739999999999997
2,6,11,1,3,17.750999999999987,20,85,30,26,14,51,18.726999999999986,1.4029999999999991,10.308999999999992,9.393999999999993,20,5,16,16,92,6,47,42,5,0,20,5,6,L,0.20355434782608695,0.2338333333333333,0.21934042553191488,0.22366666666666665
2,6,12,1,7,12.50499999999999,15,60,9,8,4,10,15.371999999999987,1.3419999999999992,2.500999999999998,1.646999999999999,20,5,8,6,76,5,11,8,6,1,72,6,6,L,0.2022631578947368,0.26839999999999997,0.22736363636363635,0.20587499999999997
2,7,13,1,15,20.434999999999985,17,93,17,13,117,86,23.118999999999982,17.018999999999988,0.122,0.305,20,17,2,3,103,71,2,3,6,0,17,4.25,6,L,0.22445631067961164,0.23970422535211267,0.061,0.10166666666666667
2,7,14,1,8,18.543999999999986,19,92,101,46,62,104,21.227999999999984,10.491999999999992,1.4029999999999991,1.4029999999999991,20,18,7,7,106,46,7,7,2,0,13,3.25,6,L,0.2002641509433962,0.2280869565217391,0.20042857142857143,0.2004285714285714
2,8,15,1,15,18.665999999999986,19,81,15,18,22,24,19.214999999999986,1.585999999999999,2.2569999999999983,0.122,20,6,10,2,86,7,11,2,6,1,72,6,6,L,0.2234302325581395,0.22657142857142853,0.2051818181818182,0.061
2,8,16,1,7,13.48099999999999,17,74,4,9,10,112,26.90099999999998,0.061,1.585999999999999,2.1349999999999985,20,1,6,8,121,1,6,10,6,0.5,38,5,6,L,0.22232231404958677,0.061,0.2643333333333333,0.21349999999999997
2,9,17,1,1,20.495999999999984,20,95,10,77,69,37,35.867999999999974,0.488,0.6709999999999998,1.585999999999999,20,2,4,6,160,2,5,7,3,0,18,4.5,6,L,0.22417499999999999,0.244,0.13419999999999999,0.22657142857142856
2,9,18,1,15,15.371999999999987,20,79,13,20,95,21,21.410999999999984,2.1959999999999984,1.2199999999999993,1.585999999999999,20,8,3,4,105,9,3,5,6,0.5,39,5.25,6,L,0.20391428571428571,0.24399999999999997,0.40666666666666657,0.3172
2,10,19,1,2,29.828999999999976,16,152,56,54,52,4,30.682999999999975,2.561999999999998,6.8319999999999945,10.369999999999992,20,9,14,15,157,10,31,41,4,0.5,30,4.5,6,L,0.19543312101910829,0.2562,0.22038709677419355,0.25292682926829263
2,10,20,1,15,17.018999999999988,19,92,20,16,43,63,17.567999999999987,5.062999999999996,7.197999999999994,0.488,20,12,16,3,95,21,23,4,6,0,21,5.25,6,L,0.18492631578947366,0.24109523809523806,0.3129565217391304,0.122
2,11,21,1,3,46.420999999999964,18,190,32,82,36,25,46.542999999999964,5.977999999999995,0.183,3.3549999999999973,19,14,1,11,191,26,1,13,5,0.5,33,4.5,6,L,0.2436806282722513,0.2299230769230769,0.183,0.25807692307692304
2,11,22,1,2,20.068999999999985,18,91,58,93,53,95,23.301999999999982,2.683999999999998,2.3789999999999982,1.8299999999999987,20,8,10,5,104,13,13,6,4,0,14,3.5,6,L,0.2240576923076923,0.20646153846153845,0.183,0.30499999999999994
2,12,23,1,7,13.724999999999989,19,61,8,4,9,12,19.031999999999986,0.5489999999999999,1.463999999999999,3.2939999999999974,20,2,8,12,77,2,8,18,6,1,72,6,6,L,0.24716883116883115,0.27449999999999997,0.183,0.183
2,12,24,1,15,25.49799999999998,20,131,16,24,49,103,25.55899999999998,6.038999999999995,2.439999999999998,6.038999999999995,20,13,13,11,132,24,17,27,6,0,18,4.5,6,L,0.19362878787878787,0.251625,0.14352941176470588,0.22366666666666662
2,13,25,1,15,18.055999999999987,19,91,23,19,17,22,20.373999999999985,0.8539999999999996,0.8539999999999996,0.6099999999999999,20,5,3,3,102,5,4,3,6,1,72,6,6,L,0.19974509803921567,0.17079999999999998,0.2135,0.20333333333333334
2,13,26,1,7,9.820999999999993,14,45,1,10,9,93,11.528999999999991,0.8539999999999996,0.061,3.2939999999999974,19,3,1,7,51,3,1,11,6,0.5,39,5.25,6,L,0.22605882352941176,0.2846666666666666,0.061,0.2994545454545454
2,14,27,1,7,19.214999999999986,16,95,4,7,11,49,19.275999999999986,5.062999999999996,0.061,10.796999999999992,17,12,1,16,96,19,1,59,6,0.5,40,5.5,6,L,0.20079166666666665,0.2664736842105263,0.061,0.183
2,14,28,1,15,21.776999999999983,19,105,13,15,30,25,22.874999999999982,3.1109999999999975,4.391999999999997,2.9889999999999977,20,8,12,7,107,9,21,14,6,0,22,5.5,6,L,0.21378504672897194,0.3456666666666666,0.2091428571428571,0.2135
2,15,29,1,14,20.678999999999984,17,90,94,86,91,114,21.288999999999984,1.2809999999999993,1.0369999999999995,4.879999999999996,18,4,6,11,91,4,7,16,3,0.5,20,2.75,6,L,0.23394505494505494,0.3202499999999999,0.14814285714285713,0.30499999999999994
2,15,30,1,11,53.13099999999996,19,202,65,61,81,103,53.74099999999996,0.7929999999999997,2.0739999999999985,1.524999999999999,20,7,7,4,206,9,9,5,4,0,13,3.25,6,L,0.260878640776699,0.08811111111111111,0.23044444444444442,0.305
2,16,31,1,14,55.936999999999955,18,233,91,86,85,36,56.058999999999955,0.366,3.659999999999997,4.147999999999997,20,2,9,7,235,2,17,12,3,0.5,23,3.5,6,L,0.23854893617021275,0.183,0.2152941176470588,0.3456666666666666
2,16,32,1,11,14.334999999999988,14,70,64,114,120,119,17.262999999999987,8.112999999999994,20.556999999999984,10.857999999999992,20,15,17,16,84,36,99,50,4,0.5,16,2.5,6,L,0.20551190476190476,0.2253611111111111,0.20764646464646463,0.21715999999999996
3,1,1,0,2,16.04299999999999,20,81,57,4,1,9,20.800999999999984,7.136999999999994,7.746999999999994,1.8909999999999987,20,16,15,7,104,33,36,10,4,0.5,40,5.5,6,L,0.20000961538461537,0.21627272727272726,0.21519444444444444,0.1891
3,1,2,0,9,18.909999999999986,20,94,67,70,69,95,19.275999999999986,0.122,1.1589999999999994,13.29799999999999,20,2,4,15,96,2,6,50,4,0.5,27,3.75,6,L,0.20079166666666665,0.061,0.19316666666666665,0.26596
3,2,3,0,8,14.212999999999989,17,58,15,27,17,112,31.170999999999978,0.183,0.122,0.061,20,1,1,1,125,1,1,1,2,0,19,4.75,6,L,0.24936799999999998,0.183,0.122,0.061
3,2,4,0,5,18.604999999999986,17,90,45,44,40,39,22.386999999999983,0.7319999999999998,3.4159999999999973,1.646999999999999,20,4,10,8,106,4,11,8,5,1,60,5,6,L,0.21119811320754714,0.183,0.3105454545454545,0.20587499999999997
3,3,5,0,6,15.432999999999987,16,73,5,4,10,9,16.957999999999988,6.160999999999995,0.5489999999999999,5.672999999999996,20,15,4,15,84,22,4,24,6,1,72,6,6,L,0.20188095238095236,0.2800454545454545,0.13724999999999998,0.23637499999999995
3,3,6,0,9,58.43799999999995,15,247,67,62,19,18,59.59699999999995,5.062999999999996,4.330999999999997,0.7319999999999998,17,13,14,3,249,21,18,3,4,0,20,5,6,L,0.2393453815261044,0.24109523809523808,0.24061111111111108,0.244
3,4,7,0,1,53.37499999999996,16,243,83,80,81,33,53.86299999999996,0.9149999999999996,0.9759999999999995,0.122,19,4,2,1,246,4,2,1,3,0.5,23,3.5,6,L,0.21895528455284552,0.22874999999999998,0.4879999999999998,0.122
3,4,8,0,10,33.671999999999976,17,162,86,21,18,15,36.35599999999997,7.685999999999994,11.650999999999991,13.05399999999999,20,15,17,16,168,35,50,65,3,0.5,39,5.25,6,L,0.21640476190476188,0.21959999999999996,0.23301999999999998,0.20083076923076923
3,5,9,0,9,21.837999999999983,19,102,64,72,70,23,23.118999999999982,1.1589999999999994,2.1959999999999984,10.552999999999992,20,8,9,15,108,8,13,41,4,0.5,30,4.5,6,L,0.2140648148148148,0.144875,0.16892307692307693,0.257390243902439
3,5,10,0,3,19.702999999999985,19,88,28,34,25,26,21.654999999999983,0.9149999999999996,1.2809999999999993,10.308999999999992,20,5,7,16,100,6,8,48,5,1,60,5,6,L,0.21654999999999996,0.1525,0.160125,0.2147708333333333
