Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,7,26.96199999999998,18,112,15,13,20,107,29.279999999999976,17.567999999999987,1.9519999999999986,0.122,20,18,10,2,123,58,11,2,6,0.5,38,5,6,L,0.23804878048780487,0.3028965517241379,0.17745454545454545,0.061
1,1,2,0,10,11.83399999999999,16,50,96,87,86,1,12.13899999999999,4.7579999999999965,0.7319999999999998,5.489999999999996,19,13,5,13,53,23,6,23,3,0.5,24,3.75,6,L,0.2290377358490566,0.2068695652173913,0.122,0.23869565217391303
1,2,3,0,7,21.776999999999983,18,113,13,21,94,29,21.837999999999983,2.3789999999999982,7.990999999999993,1.7689999999999988,19,8,15,8,114,10,34,9,6,0,20,5,6,L,0.1915614035087719,0.23789999999999997,0.23502941176470588,0.19655555555555554
1,2,4,0,9,25.19299999999998,20,125,67,65,71,43,26.83999999999998,1.4029999999999991,2.8669999999999978,11.589999999999991,20,3,12,16,133,3,16,53,4,0.5,29,4.25,6,L,0.2018045112781955,0.46766666666666656,0.1791875,0.21867924528301885
1,3,5,0,4,17.811999999999987,19,90,105,86,15,108,19.458999999999985,12.50499999999999,5.245999999999996,0.5489999999999999,20,18,14,5,98,70,24,5,2,0,13,3.25,6,L,0.1985612244897959,0.17864285714285713,0.21858333333333332,0.1098
1,3,6,0,6,47.76299999999996,15,209,11,45,6,8,47.82399999999996,8.417999999999994,1.2809999999999993,15.188999999999988,16,15,7,17,210,32,8,61,6,0.5,41,5.75,6,L,0.2277333333333333,0.2630625,0.160125,0.24899999999999997
1,4,7,0,2,27.815999999999978,16,131,55,52,18,103,28.791999999999977,0.061,8.722999999999994,4.818999999999996,20,1,15,14,135,1,33,18,4,0,16,4,6,L,0.21327407407407406,0.061,0.2643333333333333,0.2677222222222222
1,4,8,0,9,14.517999999999988,19,73,69,68,67,72,15.798999999999987,0.061,3.3549999999999973,7.319999999999994,20,1,9,16,80,1,16,33,4,1,48,4,6,L,0.19748749999999998,0.061,0.2096875,0.2218181818181818
1,5,9,0,5,54.04599999999996,16,229,40,45,5,43,54.35099999999996,2.3179999999999983,7.014999999999994,2.0129999999999986,18,8,13,9,231,8,32,11,5,0.5,36,5.25,6,L,0.23528571428571426,0.28974999999999995,0.21921875,0.183
1,5,10,0,1,19.214999999999986,19,84,79,74,75,77,20.251999999999985,1.585999999999999,0.7929999999999997,2.1349999999999985,20,6,4,8,92,7,4,10,3,1,36,3,6,L,0.22013043478260869,0.22657142857142856,0.19824999999999998,0.2135
1,6,11,1,14,36.41699999999997,18,144,32,89,72,85,41.54099999999997,0.305,0.7319999999999998,2.1959999999999984,20,1,3,8,166,1,3,10,3,0,15,3.75,6,L,0.2502469879518072,0.305,0.244,0.21959999999999996
1,6,12,1,13,17.384999999999987,19,84,109,44,3,113,19.458999999999985,15.493999999999987,3.1109999999999975,5.977999999999995,20,15,11,15,95,60,14,28,2,0,15,3.75,6,L,0.20483157894736842,0.2582333333333333,0.2222142857142857,0.2135
1,7,13,1,1,14.883999999999988,19,70,75,83,82,113,16.10399999999999,1.7689999999999988,4.391999999999997,1.7689999999999988,20,7,11,4,77,9,16,4,3,0.5,20,2.75,6,L,0.20914285714285713,0.19655555555555554,0.27449999999999997,0.4422499999999998
