Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,6,11.284999999999991,14,49,11,5,2,98,12.62699999999999,1.646999999999999,2.9279999999999977,2.8669999999999978,20,3,7,9,57,3,10,13,6,0.5,38,5,3,L,0.22152631578947365,0.5489999999999998,0.29279999999999995,0.22053846153846152
1,1,2,0,2,19.031999999999986,19,92,59,57,53,112,20.190999999999985,2.561999999999998,0.5489999999999999,5.489999999999996,20,5,2,10,95,5,2,19,4,0.5,26,3.5,3,L,0.21253684210526314,0.5123999999999999,0.27449999999999997,0.2889473684210526
1,2,3,0,9,17.506999999999987,16,96,16,65,96,29,3453.393000002311,0.061,0.488,0.061,20,1,3,1,14069,1,3,1,4,0,18,4.5,3,L,0.2454611557324613,0.061,0.16266666666666665,0.061
1,2,4,0,5,19.092999999999986,19,78,38,3,2,4,21.471999999999984,20.190999999999985,1.8299999999999987,3.4159999999999973,20,19,9,12,92,94,12,15,5,0.5,41,5.75,3,L,0.23339130434782607,0.21479787234042552,0.1525,0.2277333333333333
1,3,5,1,12,26.47399999999998,20,120,37,42,38,22,27.205999999999978,1.646999999999999,1.585999999999999,0.8539999999999996,20,6,7,5,124,8,10,5,5,0.5,36,5.25,3,L,0.2194032258064516,0.205875,0.1586,0.1708
1,3,6,1,2,21.898999999999983,17,105,50,27,8,7,22.325999999999983,29.584999999999976,25.98599999999998,0.183,20,19,18,1,108,113,111,1,4,0,21,5.25,3,L,0.2067222222222222,0.26181415929203533,0.23410810810810811,0.183
2,1,1,0,7,9.515999999999993,15,44,14,21,17,16,9.759999999999993,2.561999999999998,1.2809999999999993,3.1109999999999975,17,8,6,13,46,10,8,18,6,1,72,6,6,L,0.21217391304347824,0.25619999999999993,0.160125,0.17283333333333334
2,1,2,0,6,25.68099999999998,14,120,3,2,58,8,26.71799999999998,5.489999999999996,7.8689999999999936,8.478999999999994,18,15,16,15,124,32,28,33,6,0.5,40,5.5,6,L,0.21546774193548388,0.1715625,0.2810357142857142,0.2569393939393939
2,2,3,0,7,19.153999999999986,17,83,20,14,21,111,19.336999999999986,3.2329999999999974,0.061,10.247999999999992,19,8,1,16,85,12,1,43,6,0.5,38,5,6,L,0.2274941176470588,0.26941666666666664,0.061,0.23832558139534882
2,2,4,0,2,37.27099999999997,15,152,56,49,3,97,37.33199999999997,3.1109999999999975,17.567999999999987,0.7319999999999998,16,8,18,4,153,12,79,4,4,0,16,4,6,L,0.24399999999999997,0.25925,0.222379746835443,0.183
2,3,5,0,7,13.54199999999999,19,71,20,15,13,16,14.456999999999988,3.4159999999999973,2.500999999999998,0.427,20,10,6,3,74,15,7,3,6,1,72,6,6,L,0.19536486486486485,0.22773333333333332,0.3572857142857142,0.14233333333333334
2,3,6,0,9,46.237999999999964,15,208,61,72,65,69,46.664999999999964,0.7319999999999998,2.0129999999999986,2.9279999999999977,18,4,6,8,211,5,6,12,4,1,48,4,6,L,0.22116113744075827,0.1464,0.3354999999999999,0.24399999999999997
2,4,7,0,7,16.957999999999988,15,80,13,15,97,20,17.018999999999988,1.4029999999999991,9.027999999999993,3.1109999999999975,16,6,16,11,81,6,42,14,6,0.5,38,5,6,L,0.21011111111111108,0.23383333333333334,0.21495238095238095,0.2222142857142857
2,4,8,0,1,23.118999999999982,17,109,51,81,82,117,41.35799999999997,4.269999999999997,7.197999999999994,7.380999999999994,20,11,17,16,186,14,28,40,3,0,12,3,6,L,0.2223548387096774,0.30499999999999994,0.25707142857142856,0.184525
2,5,9,0,3,25.00999999999998,14,97,25,35,32,65,25.43699999999998,2.9889999999999977,0.244,10.674999999999992,17,12,2,17,100,17,2,44,5,0.5,34,4.75,6,L,0.25437,0.1758235294117647,0.122,0.24261363636363634
2,5,10,0,4,43.37099999999997,18,202,105,60,103,97,43.858999999999966,7.502999999999994,0.7929999999999997,0.244,20,16,3,3,204,29,3,3,2,0.5,16,2.5,6,L,0.21499509803921565,0.25872413793103444,0.2643333333333333,0.08133333333333333
2,6,11,1,13,20.678999999999984,20,91,68,115,88,96,25.86399999999998,0.9149999999999996,1.463999999999999,2.8669999999999978,20,6,7,9,113,6,10,14,2,0,12,3,6,L,0.22888495575221238,0.1525,0.14639999999999997,0.2047857142857143
